Number,Artist,Genres,Date,Venue,City,State,Capacity,Number of Songs
1146,The Avett Brothers,"indie, other, rock",09-11-2024,Seascape Golf Course,Miramar Beach,FL,null,23
1147,The Avett Brothers,"indie, other, rock",07-11-2024,Saenger Performing Arts Theater,New Orleans,LA,null,25
1148,The Avett Brothers,"indie, other, rock",26-10-2024,Bank of America Stadium,Charlotte,NC,"74,867",10
1149,The Avett Brothers,"indie, other, rock",25-10-2024,Vibrant Arena at The MARK,Moline,IL,"12,000",10
1150,The Avett Brothers,"indie, other, rock",24-10-2024,Xcel Energy Center,St. Paul,MN,"20,554",24
1151,The Avett Brothers,"indie, other, rock",13-10-2024,ACL Live at The Moody Theater,Austin,TX,null,18
1152,The Avett Brothers,"indie, other, rock",12-10-2024,Smart Financial Centre at Sugar Land,Sugar Land,TX,null,22
1153,The Avett Brothers,"indie, other, rock",11-10-2024,Texas Trust CU Theatre,Grand Prairie,TX,"8,500",17
1154,The Avett Brothers,"indie, other, rock",09-10-2024,Arizona Financial Theatre,Phoenix,AZ,"5,000",24
1155,The Avett Brothers,"indie, other, rock",06-10-2024,The Rady Shell at Jacobs Park,San Diego,CA,"6,000",25
1156,The Avett Brothers,"indie, other, rock",21-09-2024,Whitewater Amphitheater,New Braunfels,TX,null,23
1157,The Avett Brothers,"indie, other, rock",20-09-2024,Whitewater Amphitheater,New Braunfels,TX,null,24
1158,The Avett Brothers,"indie, other, rock",18-09-2024,BOK Center,Tulsa,OK,"19,199",25
1159,The Avett Brothers,"indie, other, rock",17-09-2024,First Security Amphitheater,Little Rock,AR,null,22
1160,The Avett Brothers,"indie, other, rock",14-09-2024,Gas South Arena,Duluth,GA,"13,000",23
1161,The Avett Brothers,"indie, other, rock",13-09-2024,FirstBank Amphitheater,Franklin,TN,"2,472",22
1162,The Avett Brothers,"indie, other, rock",12-09-2024,Gainbridge Fieldhouse,Indianapolis,IN,"20,000",23
1163,The Avett Brothers,"indie, other, rock",12-09-2024,WTTS Studio 92,Indianapolis,IN,null,10
1164,The Avett Brothers,"indie, other, rock",25-08-2024,CCNB Amphitheatre at Heritage Park,Simpsonville,SC,null,20
1165,The Avett Brothers,"indie, other, rock",24-08-2024,MegaCorp Pavilion,Newport,KY,"6,000",26
1166,The Avett Brothers,"indie, other, rock",23-08-2024,Jacobs Pavilion at Nautica,Cleveland,OH,null,25
1167,The Avett Brothers,"indie, other, rock",21-08-2024,Masonic Temple Theatre,Detroit,MI,null,24
1168,The Avett Brothers,"indie, other, rock",20-08-2024,KEMBA Live!,Columbus,OH,"5,200",23
1169,The Avett Brothers,"indie, other, rock",18-08-2024,Alpine Valley Music Theatre,East Troy,WI,null,25
1170,The Avett Brothers,"indie, other, rock",17-08-2024,Saint Louis Music Park,Maryland Heights,MO,null,24
1171,The Avett Brothers,"indie, other, rock",16-08-2024,Iowa State Fairgrounds,Des Moines,IA,"10,605",23
1172,The Avett Brothers,"indie, other, rock",26-07-2024,Commanders Field,Landover,MD,null,10
1173,The Avett Brothers,"indie, other, rock",14-07-2024,Hayden Homes Amphitheater,Bend,OR,"8,000",25
1174,The Avett Brothers,"indie, other, rock",13-07-2024,McMenamins Historic Edgefield Manor,Troutdale,OR,null,24
1175,The Avett Brothers,"indie, other, rock",12-07-2024,Marymoor Park,Redmond,WA,"1,150",25
1176,The Avett Brothers,"indie, other, rock",10-07-2024,Big Sky Brewing Company,Missoula,MT,null,19
1177,The Avett Brothers,"indie, other, rock",07-07-2024,Red Rocks Amphitheatre,Morrison,CO,null,25
1178,The Avett Brothers,"indie, other, rock",06-07-2024,Red Rocks Amphitheatre,Morrison,CO,null,25
1179,The Avett Brothers,"indie, other, rock",05-07-2024,Red Rocks Amphitheatre,Morrison,CO,null,24
1180,The Avett Brothers,"indie, other, rock",03-07-2024,Kit Carson Park,Taos,NM,null,23
1181,The Avett Brothers,"indie, other, rock",16-06-2024,Sacramento Memorial Auditorium,Sacramento,CA,"2,452",23
1182,The Avett Brothers,"indie, other, rock",15-06-2024,Vina Robles Amphitheatre,Paso Robles,CA,"1,964",25
1183,The Avett Brothers,"indie, other, rock",14-06-2024,SoFi Stadium,Inglewood,CA,"70,240",10
1184,The Avett Brothers,"indie, other, rock",13-06-2024,Jimmy Kimmel Live,Los Angeles,CA,null,10
1185,The Avett Brothers,"indie, other, rock",24-05-2024,Constellation Brands – Marvin Sands Performing Arts Center,Canandaigua,NY,null,24
1186,The Avett Brothers,"indie, other, rock",23-05-2024,MVP Arena,Albany,NY,"17,500",24
1187,The Avett Brothers,"indie, other, rock",22-05-2024,The Tonight Show Starring Jimmy Fallon,New York,NY,null,10
1188,The Avett Brothers,"indie, other, rock",21-05-2024,Westville Music Bowl,New Haven,CT,"5,000",24
1189,The Avett Brothers,"indie, other, rock",18-05-2024,Suffolk Downs,Boston,MA,null,23
1190,The Avett Brothers,"indie, other, rock",17-05-2024,Forest Hills Stadium,Queens,NY,"14,000",23
1191,The Avett Brothers,"indie, other, rock",16-05-2024,TD Pavilion at the Mann,Philadelphia,PA,null,27
1192,The Avett Brothers,"indie, other, rock",05-05-2024,Uptown,Charlotte,NC,null,19
1193,The Avett Brothers,"indie, other, rock",19-04-2024,Highmark Stadium,Orchard Park,NY,"71,608",10
1194,Gracie Abrams,pop,17-12-2024,Capital One Arena,"Washington, D.C.",DC,"20,356",10
1195,Gracie Abrams,pop,16-12-2024,Wells Fargo Center,Philadelphia,PA,"14,000",10
1196,Gracie Abrams,pop,14-12-2024,Saturday Night Live,New York,NY,null,10
1197,Gracie Abrams,pop,14-12-2024,Saturday Night Live,New York,NY,null,10
1198,Gracie Abrams,pop,13-12-2024,Madison Square Garden,New York City,NY,"20,789",10
1199,Gracie Abrams,pop,12-11-2024,null,Los Angeles,CA,null,10
1200,Gracie Abrams,pop,03-11-2024,Lucas Oil Stadium,Indianapolis,IN,"63,000",10
1201,Gracie Abrams,pop,02-11-2024,Lucas Oil Stadium,Indianapolis,IN,"63,000",10
1202,Gracie Abrams,pop,01-11-2024,Lucas Oil Stadium,Indianapolis,IN,"63,000",10
1203,Gracie Abrams,pop,30-10-2024,Veterans Memorial Coliseum,Portland,OR,"5,000",10
1204,Gracie Abrams,pop,27-10-2024,Caesars Superdome,New Orleans,LA,"73,208",10
1205,Gracie Abrams,pop,26-10-2024,Caesars Superdome,New Orleans,LA,"73,208",10
1206,Gracie Abrams,pop,25-10-2024,Caesars Superdome,New Orleans,LA,"73,208",10
1207,Gracie Abrams,pop,20-10-2024,Hard Rock Stadium,Miami Gardens,FL,"64,767",10
1208,Gracie Abrams,pop,19-10-2024,Hard Rock Stadium,Miami Gardens,FL,"64,767",10
1209,Gracie Abrams,pop,18-10-2024,Hard Rock Stadium,Miami Gardens,FL,"64,767",10
1210,Gracie Abrams,pop,15-10-2024,Metropolitan Opera House,Philadelphia,PA,null,22
1211,Gracie Abrams,pop,14-10-2024,Radio City Music Hall,New York City,NY,"5,931",22
1212,Gracie Abrams,pop,10-10-2024,State Theatre,Ithaca,NY,"1,600",17
1213,Gracie Abrams,pop,09-10-2024,MGM Music Hall at Fenway,Boston,MA,"5,009",22
1214,Gracie Abrams,pop,05-10-2024,Radio City Music Hall,New York City,NY,"5,931",22
1215,Gracie Abrams,pop,04-10-2024,Radio City Music Hall,New York City,NY,"5,931",22
1216,Gracie Abrams,pop,02-10-2024,The Anthem,"Washington, D.C.",DC,"6,000",22
1217,Gracie Abrams,pop,30-09-2024,Coca-Cola Roxy,Atlanta,GA,null,22
1218,Gracie Abrams,pop,29-09-2024,Ryman Auditorium,Nashville,TN,"2,072",22
1219,Gracie Abrams,pop,27-09-2024,Byline Bank Aragon Ballroom,Chicago,IL,null,22
1220,Gracie Abrams,pop,25-09-2024,Minneapolis Armory,Minneapolis,MN,"8,400",22
1221,Gracie Abrams,pop,24-09-2024,Uptown Theater,Kansas City,MO,"1,700",22
1222,Gracie Abrams,pop,22-09-2024,Moody Amphitheater,Austin,TX,"9,400",22
1223,Gracie Abrams,pop,20-09-2024,713 Music Hall,Houston,TX,"8,050",22
1224,Gracie Abrams,pop,19-09-2024,The Pavilion at Toyota Music Factory,Irving,TX,null,22
1225,Gracie Abrams,pop,16-09-2024,Fillmore Auditorium,Denver,CO,"3,700",22
1226,Gracie Abrams,pop,15-09-2024,Fillmore Auditorium,Denver,CO,"3,700",22
1227,Gracie Abrams,pop,12-09-2024,Greek Theatre,Baton Rouge,LA,"3,500",22
1228,Gracie Abrams,pop,11-09-2024,Greek Theatre,Baton Rouge,LA,"3,500",22
1229,Gracie Abrams,pop,09-09-2024,Greek Theatre,Baton Rouge,LA,"3,500",22
1230,Gracie Abrams,pop,08-09-2024,William Randolph Hearst Greek Theatre,Berkeley,CA,null,22
1231,Gracie Abrams,pop,06-09-2024,WaMu Theater,Seattle,WA,"17,459",22
1232,Gracie Abrams,pop,05-09-2024,Alaska Airlines' Theater of the Clouds,Portland,OR,null,22
1233,Gracie Abrams,pop,30-07-2024,ACL Live at The Moody Theater,Austin,TX,null,17
1234,Gracie Abrams,pop,28-06-2024,Today Show,New York,NY,null,10
1235,Gracie Abrams,pop,20-06-2024,Jimmy Kimmel Live,Los Angeles,CA,null,10
1236,Gracie Abrams,pop,17-06-2024,The Echo,Los Angeles,CA,null,10
1237,Gracie Abrams,pop,08-05-2024,The Tonight Show Starring Jimmy Fallon,New York,NY,null,10
1238,Gracie Abrams,pop,01-02-2024,Paramount Studios,Los Angeles,CA,null,10
1239,Vance Joy,"indie, k-pop, pop, rock",26-09-2024,Radio City Music Hall,New York City,NY,"5,931",18
1240,Vance Joy,"indie, k-pop, pop, rock",21-09-2024,Merriweather Post Pavilion,Columbia,MD,"19,319",18
1241,Vance Joy,"indie, k-pop, pop, rock",20-09-2024,Ascend Amphitheater,Nashville,TN,"69,143",18
1242,Vance Joy,"indie, k-pop, pop, rock",18-09-2024,Moscone Center,San Francisco,CA,null,10
1243,Vance Joy,"indie, k-pop, pop, rock",17-09-2024,The Fairgrounds at the Salt Shed,Chicago,IL,null,18
1244,Vance Joy,"indie, k-pop, pop, rock",14-09-2024,Ghost Ranch,Abiquiu,NM,null,17
1245,Vance Joy,"indie, k-pop, pop, rock",13-09-2024,Fiddler's Green Amphitheatre,Greenwood Village,CO,"18,000",17
1246,Vance Joy,"indie, k-pop, pop, rock",12-09-2024,Red Butte Garden,Salt Lake City,UT,null,10
1247,Vance Joy,"indie, k-pop, pop, rock",10-09-2024,William Randolph Hearst Greek Theatre,Berkeley,CA,null,19
1248,Vance Joy,"indie, k-pop, pop, rock",06-09-2024,Cal Coast Credit Union Open Air Theatre,San Diego,CA,null,19
1249,Ray LaMontagne,"indie, other, pop, rock",11-10-2024,Cadence Bank Amphitheatre at Chastain Park,Atlanta,GA,null,15
1250,Ray LaMontagne,"indie, other, pop, rock",09-10-2024,Ting Pavilion,Charlottesville,VA,"14,593",14
1251,Ray LaMontagne,"indie, other, pop, rock",08-10-2024,Pier Six Concert Pavilion,Baltimore,MD,null,14
1252,Ray LaMontagne,"indie, other, pop, rock",06-10-2024,FirstBank Amphitheater,Franklin,TN,"2,472",14
1253,Ray LaMontagne,"indie, other, pop, rock",05-10-2024,Everwise Amphitheater at White River State Park,Indianapolis,IN,"6,000",14
1254,Ray LaMontagne,"indie, other, pop, rock",04-10-2024,The Andrew J. Brady Music Center,Cincinnati,OH,null,14
1255,Ray LaMontagne,"indie, other, pop, rock",01-10-2024,Firefly Distillery,North Charleston,SC,null,10
1256,Ray LaMontagne,"indie, other, pop, rock",28-09-2024,"Steinmetz Hall, Dr. Phillips Center for the Performing Arts",Orlando,FL,null,10
1257,Ray LaMontagne,"indie, other, pop, rock",27-09-2024,Au-Rene Theater at The Broward Center for the Performing Arts,Fort Lauderdale,FL,null,10
1258,Ray LaMontagne,"indie, other, pop, rock",20-09-2024,Music Hall at Fair Park,Dallas,TX,"9,552",19
1259,Ray LaMontagne,"indie, other, pop, rock",19-09-2024,ACL Live at The Moody Theater,Austin,TX,null,16
1260,Ray LaMontagne,"indie, other, pop, rock",17-09-2024,Abraham Chavez Theatre,El Paso,TX,"2,050",10
1261,Ray LaMontagne,"indie, other, pop, rock",15-09-2024,Arizona Financial Theatre,Phoenix,AZ,"5,000",13
1262,Ray LaMontagne,"indie, other, pop, rock",14-09-2024,Cal Coast Credit Union Open Air Theatre,San Diego,CA,null,14
1263,Ray LaMontagne,"indie, other, pop, rock",12-09-2024,YouTube Theater,Inglewood,CA,"6,000",13
1264,Ray LaMontagne,"indie, other, pop, rock",11-09-2024,William Randolph Hearst Greek Theatre,Berkeley,CA,null,14
1265,Ray LaMontagne,"indie, other, pop, rock",07-09-2024,Chateau Ste. Michelle Winery Amphitheatre,Woodinville,WA,null,10
1266,Ray LaMontagne,"indie, other, pop, rock",06-09-2024,Chateau Ste. Michelle Winery Amphitheatre,Woodinville,WA,null,13
1267,Ray LaMontagne,"indie, other, pop, rock",04-09-2024,KettleHouse Amphitheater,Bonner,MT,"4,000",10
1268,Bleachers,"pop, rock",17-12-2024,Skirball Center For the Performing Arts,New York City,NY,850,10
1269,Bleachers,"pop, rock",04-10-2024,Madison Square Garden,New York City,NY,"20,789",23
1270,Bleachers,"pop, rock",29-09-2024,Seaside Park,Bridgeport,CT,null,14
1271,Bleachers,"pop, rock",28-09-2024,Merriweather Post Pavilion,Columbia,MD,"19,319",16
1272,Bleachers,"pop, rock",22-09-2024,Greek Theatre,Baton Rouge,LA,"3,500",22
1273,Bleachers,"pop, rock",21-09-2024,Greek Theatre,Baton Rouge,LA,"3,500",23
1274,Bleachers,"pop, rock",19-09-2024,William Randolph Hearst Greek Theatre,Berkeley,CA,null,23
1275,Bleachers,"pop, rock",13-07-2024,Fisher Green Stage,Seattle,WA,null,20
1276,Bleachers,"pop, rock",13-07-2024,The Vera Project,Seattle,WA,null,10
1277,Bleachers,"pop, rock",06-07-2024,Grandview Park,Sioux City,IA,null,20
1278,Bleachers,"pop, rock",04-07-2024,Today Show,New York,NY,null,10
1279,Bleachers,"pop, rock",15-06-2024,The Stone Pony Summer Stage,Asbury Park,NJ,"4,500",25
1280,Bleachers,"pop, rock",14-06-2024,The Anthem,"Washington, D.C.",DC,"6,000",24
1281,Bleachers,"pop, rock",12-06-2024,Metropolitan Opera House,Philadelphia,PA,null,23
1282,Bleachers,"pop, rock",10-06-2024,MGM Music Hall at Fenway,Boston,MA,"5,009",25
1283,Bleachers,"pop, rock",08-06-2024,Beak & Skiff Apple Orchard,LaFayette,NY,null,24
1284,Bleachers,"pop, rock",07-06-2024,Westville Music Bowl,New Haven,CT,"5,000",26
1285,Bleachers,"pop, rock",05-06-2024,Stage AE,Pittsburgh,PA,"13,592",25
1286,Bleachers,"pop, rock",04-06-2024,KEMBA Live!,Columbus,OH,"5,200",24
1287,Bleachers,"pop, rock",03-06-2024,Chase Lounge at The Chicago Theatre,Chicago,IL,null,16
1288,Bleachers,"pop, rock",02-06-2024,ALT 103.7 Performance Showroom,Dallas,TX,null,10
1289,Bleachers,"pop, rock",02-06-2024,South Side Ballroom,Dallas,TX,"4,300",24
1290,Bleachers,"pop, rock",01-06-2024,The Lawn at White Oak,Houston,TX,null,23
1291,Bleachers,"pop, rock",31-05-2024,101x Radio Station,Austin,TX,null,10
1292,Bleachers,"pop, rock",31-05-2024,Moody Amphitheater,Austin,TX,"9,400",23
1293,Bleachers,"pop, rock",29-05-2024,Ryman Auditorium,Nashville,TN,"2,072",23
1294,Bleachers,"pop, rock",28-05-2024,Ryman Auditorium,Nashville,TN,"2,072",23
1295,Bleachers,"pop, rock",26-05-2024,The Sylvee,Madison,WI,null,22
1296,Bleachers,"pop, rock",25-05-2024,The Fairgrounds at the Salt Shed,Chicago,IL,null,20
1297,Bleachers,"pop, rock",23-05-2024,Grinders KC,Kansas City,MO,null,23
1298,Bleachers,"pop, rock",22-05-2024,Steelhouse Omaha,Omaha,NE,null,21
1299,Bleachers,"pop, rock",20-05-2024,Red Rocks Amphitheatre,Morrison,CO,null,23
1300,Bleachers,"pop, rock",18-05-2024,Saltair,Magna,UT,null,18
1301,Bleachers,"pop, rock",20-04-2024,Empire Polo Club,Indio,CA,"90,000",10
1302,Bleachers,"pop, rock",17-04-2024,El Rey Theatre,Los Angeles,CA,null,18
1303,Bleachers,"pop, rock",16-04-2024,Jimmy Kimmel Live,Los Angeles,CA,null,10
1304,Bleachers,"pop, rock",13-04-2024,Empire Polo Club,Indio,CA,"90,000",10
1305,Bleachers,"pop, rock",08-04-2024,The Great Lawn University of Phoenix Stadium,Glendale,AZ,null,11
1306,Bleachers,"pop, rock",10-03-2024,Rough Trade NYC,New York,NY,null,10
1307,Bleachers,"pop, rock",06-03-2024,Bowery Ballroom,New York,NY,null,18
1308,Bleachers,"pop, rock",05-03-2024,Late Show With Stephen Colbert,New York,NY,null,10
1309,Bleachers,"pop, rock",02-02-2024,iHeartRadio Theater,Burbank,CA,null,13
1310,Mitski,"indie, pop, rock",28-09-2024,Hollywood Bowl,Los Angeles,CA,"10,258",24
1311,Mitski,"indie, pop, rock",25-09-2024,Frost Amphitheater,Stanford,CA,null,24
1312,Mitski,"indie, pop, rock",24-09-2024,William Randolph Hearst Greek Theatre,Berkeley,CA,null,24
1313,Mitski,"indie, pop, rock",23-09-2024,William Randolph Hearst Greek Theatre,Berkeley,CA,null,24
1314,Mitski,"indie, pop, rock",21-09-2024,Moda Center,Portland,OR,"19,980",24
1315,Mitski,"indie, pop, rock",18-09-2024,Fiddler's Green Amphitheatre,Greenwood Village,CO,"18,000",24
1316,Mitski,"indie, pop, rock",17-09-2024,Red Rocks Amphitheatre,Morrison,CO,null,25
1317,Mitski,"indie, pop, rock",14-09-2024,Texas Trust CU Theatre,Grand Prairie,TX,"8,500",25
1318,Mitski,"indie, pop, rock",13-09-2024,Texas Trust CU Theatre,Grand Prairie,TX,"8,500",24
1319,Mitski,"indie, pop, rock",12-09-2024,Moody Center,Austin,TX,"2,442",25
1320,Mitski,"indie, pop, rock",10-09-2024,Smart Financial Centre at Sugar Land,Sugar Land,TX,null,10
1321,Mitski,"indie, pop, rock",08-09-2024,Fox Theatre,St. Louis,MO,"4,500",25
1322,Mitski,"indie, pop, rock",07-09-2024,Fox Theatre,St. Louis,MO,"4,500",25
1323,Mitski,"indie, pop, rock",06-09-2024,Fox Theatre,St. Louis,MO,"4,500",10
1324,Mitski,"indie, pop, rock",03-09-2024,Jacobs Pavilion at Nautica,Cleveland,OH,null,22
1325,Mitski,"indie, pop, rock",01-09-2024,Merriweather Post Pavilion,Columbia,MD,"19,319",25
1326,Mitski,"indie, pop, rock",31-08-2024,Merriweather Post Pavilion,Columbia,MD,"19,319",25
1327,Mitski,"indie, pop, rock",30-08-2024,Merriweather Post Pavilion,Columbia,MD,"19,319",25
1328,Mitski,"indie, pop, rock",28-08-2024,Masonic Temple Theatre,Detroit,MI,null,25
1329,Mitski,"indie, pop, rock",27-08-2024,Masonic Temple Theatre,Detroit,MI,null,25
1330,Mitski,"indie, pop, rock",13-04-2024,Ryman Auditorium,Nashville,TN,"2,072",25
1331,Mitski,"indie, pop, rock",12-04-2024,Ryman Auditorium,Nashville,TN,"2,072",25
1332,Mitski,"indie, pop, rock",11-04-2024,Ryman Auditorium,Nashville,TN,"2,072",25
1333,Mitski,"indie, pop, rock",10-04-2024,Ryman Auditorium,Nashville,TN,"2,072",25
1334,Mitski,"indie, pop, rock",30-03-2024,Shrine Auditorium,Los Angeles,CA,null,25
1335,Mitski,"indie, pop, rock",29-03-2024,Shrine Auditorium,Los Angeles,CA,null,25
1336,Mitski,"indie, pop, rock",28-03-2024,Shrine Auditorium,Los Angeles,CA,null,25
1337,Mitski,"indie, pop, rock",24-03-2024,Auditorium Theatre,Chicago,IL,null,25
1338,Mitski,"indie, pop, rock",23-03-2024,Auditorium Theatre,Chicago,IL,null,25
1339,Mitski,"indie, pop, rock",22-03-2024,Auditorium Theatre,Chicago,IL,null,25
1340,Mitski,"indie, pop, rock",21-03-2024,Auditorium Theatre,Chicago,IL,null,25
1341,Mitski,"indie, pop, rock",28-02-2024,Kings Theatre,Brooklyn,NY,"3,000",25
1342,Mitski,"indie, pop, rock",27-02-2024,Kings Theatre,Brooklyn,NY,"3,000",25
1343,Mitski,"indie, pop, rock",26-02-2024,Kings Theatre,Brooklyn,NY,"3,000",25
1344,Mitski,"indie, pop, rock",24-02-2024,Beacon Theatre,New York City,NY,"2,894",25
1345,Mitski,"indie, pop, rock",23-02-2024,Beacon Theatre,New York City,NY,"2,894",25
1346,Mitski,"indie, pop, rock",22-02-2024,Beacon Theatre,New York City,NY,"2,894",25
1347,Mitski,"indie, pop, rock",21-02-2024,Beacon Theatre,New York City,NY,"2,894",25
1348,Mitski,"indie, pop, rock",18-02-2024,MGM Music Hall at Fenway,Boston,MA,"5,009",25
1349,Mitski,"indie, pop, rock",17-02-2024,MGM Music Hall at Fenway,Boston,MA,"5,009",25
1350,Mitski,"indie, pop, rock",16-02-2024,MGM Music Hall at Fenway,Boston,MA,"5,009",25
1351,Mitski,"indie, pop, rock",15-02-2024,MGM Music Hall at Fenway,Boston,MA,"5,009",25
1352,Mitski,"indie, pop, rock",07-02-2024,Metropolitan Opera House,Philadelphia,PA,null,25
1353,Mitski,"indie, pop, rock",06-02-2024,Metropolitan Opera House,Philadelphia,PA,null,25
1354,Mitski,"indie, pop, rock",03-02-2024,Durham Performing Arts Center,Durham,NC,"2,712",25
1355,Mitski,"indie, pop, rock",02-02-2024,Durham Performing Arts Center,Durham,NC,"2,712",25
1356,Mitski,"indie, pop, rock",30-01-2024,Walt Disney Theater,Orlando,FL,null,25
1357,Mitski,"indie, pop, rock",29-01-2024,Walt Disney Theater,Orlando,FL,null,25
1358,Mitski,"indie, pop, rock",27-01-2024,The Fillmore Miami Beach at Jackie Gleason Theater,Miami Beach,FL,null,25
1359,Mitski,"indie, pop, rock",26-01-2024,The Fillmore Miami Beach at Jackie Gleason Theater,Miami Beach,FL,null,25
1360,Faye Webster,"indie, pop",17-11-2024,Dodger Stadium,Los Angeles,CA,771,10
1361,Faye Webster,"indie, pop",15-11-2024,The Rady Shell at Jacobs Park,San Diego,CA,"6,000",17
1362,Faye Webster,"indie, pop",04-10-2024,Mission Ballroom,Denver,CO,"3,900",17
1363,Faye Webster,"indie, pop",03-10-2024,The Union Event Center,Salt Lake City,UT,null,10
1364,Faye Webster,"indie, pop",01-10-2024,Paramount Theatre,Seattle,WA,"2,963",16
1365,Faye Webster,"indie, pop",29-09-2024,McMenamins Historic Edgefield Manor,Troutdale,OR,null,15
1366,Faye Webster,"indie, pop",28-09-2024,Zellerbach Hall,Berkeley,CA,null,10
1367,Faye Webster,"indie, pop",27-09-2024,William Randolph Hearst Greek Theatre,Berkeley,CA,null,17
1368,Faye Webster,"indie, pop",26-09-2024,Alex Madonna Expo Center,San Luis Obispo,CA,null,16
1369,Faye Webster,"indie, pop",25-09-2024,Greek Theatre,Baton Rouge,LA,"3,500",16
1370,Faye Webster,"indie, pop",22-09-2024,Arizona Financial Theatre,Phoenix,AZ,"5,000",17
1371,Faye Webster,"indie, pop",21-09-2024,Lowbrow Palace,El Paso,TX,null,10
1372,Faye Webster,"indie, pop",19-09-2024,Moody Amphitheater,Austin,TX,"9,400",10
1373,Faye Webster,"indie, pop",17-09-2024,JJ's Live,Fayetteville,AR,null,10
1374,Faye Webster,"indie, pop",16-09-2024,Ryman Auditorium,Nashville,TN,"2,072",17
1375,Faye Webster,"indie, pop",14-09-2024,Ryman Auditorium,Nashville,TN,"2,072",10
1376,Faye Webster,"indie, pop",13-09-2024,Fox Theatre,St. Louis,MO,"4,500",16
1377,Faye Webster,"indie, pop",12-09-2024,Georgia Theatre,Athens,GA,null,16
1378,Faye Webster,"indie, pop",09-09-2024,Florida Theatre,Jacksonville,FL,"1,900",16
1379,Faye Webster,"indie, pop",08-09-2024,The Refinery,Charleston,SC,null,14
1380,Faye Webster,"indie, pop",06-09-2024,City Plaza,Raleigh,NC,null,15
1381,Faye Webster,"indie, pop",03-09-2024,Grammy Museum,Los Angeles,CA,null,10
1382,Faye Webster,"indie, pop",04-08-2024,Palace Theatre,Columbus,OH,"2,695",10
1383,Faye Webster,"indie, pop",02-08-2024,Grant Park,Chicago,IL,null,13
1384,Faye Webster,"indie, pop",01-08-2024,Vic Theatre,Chicago,IL,null,16
1385,Faye Webster,"indie, pop",30-07-2024,Royal Oak Music Theatre,Royal Oak,MI,"1,700",16
1386,Faye Webster,"indie, pop",29-07-2024,Stage AE,Pittsburgh,PA,"13,592",16
1387,Faye Webster,"indie, pop",27-07-2024,Suffolk Downs,Boston,MA,null,16
1388,Faye Webster,"indie, pop",26-07-2024,The Dell Music Center,Philadelphia,PA,null,18
1389,Faye Webster,"indie, pop",24-07-2024,The Anthem,"Washington, D.C.",DC,"6,000",17
1390,Faye Webster,"indie, pop",22-07-2024,Brown's Island,Richmond,VA,null,16
1391,Faye Webster,"indie, pop",08-07-2024,Jimmy Kimmel Live,Los Angeles,CA,null,10
1392,Faye Webster,"indie, pop",14-06-2024,Great Stage Park,Manchester,TN,null,14
1393,Faye Webster,"indie, pop",12-06-2024,The Fillmore,Philadelphia,PA,"8,722",16
1394,Faye Webster,"indie, pop",11-06-2024,MegaCorp Pavilion,Newport,KY,"6,000",16
1395,Faye Webster,"indie, pop",09-06-2024,Flushing Meadows Corona Park,Queens,NY,null,15
1396,Faye Webster,"indie, pop",19-04-2024,Empire Polo Club,Indio,CA,"90,000",11
1397,Faye Webster,"indie, pop",18-04-2024,Humphreys,San Diego,CA,null,16
1398,Faye Webster,"indie, pop",17-04-2024,Brooklyn Bowl,Paradise,NV,"3,000",16
1399,Faye Webster,"indie, pop",15-04-2024,Revel Entertainment Center,Albuquerque,NM,"3,000",16
1400,Faye Webster,"indie, pop",12-04-2024,Empire Polo Club,Indio,CA,"90,000",11
1401,Faye Webster,"indie, pop",30-03-2024,Iron City,Birmingham,AL,"1,300",15
1402,Faye Webster,"indie, pop",28-03-2024,House of Blues,Houston,TX,"22,309",10
1403,Faye Webster,"indie, pop",27-03-2024,Miami Beach Bandshell,Miami Beach,FL,null,15
1404,Faye Webster,"indie, pop",26-03-2024,Jannus Live,St. Petersburg,FL,"2,000",14
1405,Faye Webster,"indie, pop",24-03-2024,The Moon,Tallahassee,FL,null,14
1406,Faye Webster,"indie, pop",15-03-2024,ACL Live at The Moody Theater,Austin,TX,null,14
1407,Faye Webster,"indie, pop",04-01-2024,Newark Symphony Hall,Newark,NJ,null,10
1408,Lauv,pop,03-10-2024,Greek Theatre,Baton Rouge,LA,"3,500",23
1409,Lauv,pop,02-10-2024,William Randolph Hearst Greek Theatre,Berkeley,CA,null,10
1410,Lauv,pop,23-09-2024,Radio City Music Hall,New York City,NY,"5,931",23
1411,Lauv,pop,21-09-2024,Leader Bank Pavilion,Boston,MA,"5,200",23
1412,Lauv,pop,16-09-2024,Vinyl,Philadelphia,PA,null,12
1413,Lauv,pop,07-09-2024,AREA15,Las Vegas,NV,null,21
1414,Omar Apollo,"other, pop, r&b",16-11-2024,Dodger Stadium,Los Angeles,CA,771,17
1415,Omar Apollo,"other, pop, r&b",11-10-2024,The Rady Shell at Jacobs Park,San Diego,CA,"6,000",26
1416,Omar Apollo,"other, pop, r&b",10-10-2024,Mesa Amphitheatre,Mesa,AZ,null,10
1417,Omar Apollo,"other, pop, r&b",08-10-2024,Santa Barbara Bowl,Santa Barbara,CA,"4,562",10
1418,Omar Apollo,"other, pop, r&b",05-10-2024,Hollywood Bowl,Los Angeles,CA,"10,258",26
1419,Omar Apollo,"other, pop, r&b",04-10-2024,William Randolph Hearst Greek Theatre,Berkeley,CA,null,25
1420,Omar Apollo,"other, pop, r&b",19-09-2024,The Lawn at White Oak,Houston,TX,null,25
